Title,Author,Publication Date,Pages,Genre,Rating,Summary,Converted,num_pages
The Eyre Affair,Jasper Fforde,2001-07-19 00:00:00,374 pages,"['Fantasy', 'Fiction', 'Mystery']",3.89,great britain circa 1985 time travel is routine cloning is a reality dodos are the resurrected pet of choice and literature is taken very very seriously baconians are trying to convince the world that francis bacon really wrote shakespeare there are riots between the surrealists and impressionists and thousands of men are named john milton an homage to the real milton and a very confusing situation for the police amidst all this acheron hades third most wanted man in the world steals the original manuscript of martin chuzzlewit and kills a minor character who then disappears from every volume of the novel ever printed but thats just a prelude   hades real target is the beloved jane eyre and its not long before he plucks her from the pages of brontes novel enter thursday next shes the special operatives renowned literary detective and she drives a porsche with the help of her uncle mycrofts prose portal thursday enters the novel to rescue jane eyre from this heinous act of literary homicide its tricky business all these interlopers running about thornfield and deceptions run rampant as their paths cross with jane rochester and miss fairfax can thursday save jane eyre and brontes masterpiece and what of the crimean war will it ever end and what about those annoying black holes that pop up now and again sucking things into timespace voids   suspenseful and outlandish absorbing and fun the eyre affair is a caper unlike any other and an introduction to the imagination of a most distinctive writer and his singular fictional universe,0,374.0
Never Lie,Freida McFadden,2022-09-19 00:00:00,286 pages,"['Thriller', 'Mystery', 'Audiobook']",4.09,newlyweds tricia and ethan are searching for the house of their dreamsbut when they visit the remote manor that once belonged to dr adrienne hale a renowned psychiatrist who vanished without a trace four years earlier a violent winter storm traps them at the estate with no chance of escape until the blizzard comes to an endin search of a book to keep her entertained until the snow abates tricia happens upon a secret room one that contains audio transcripts from every single patient dr hale has ever interviewed as tricia listens to the cassette tapes she learns about the terrifying chain of events leading up to dr hales mysterious disappearancetricia plays the tapes one by one late into the night with each one another shocking piece of the puzzle falls into place and dr adrienne hales web of lies slowly unravelsand then tricia reaches the final cassettethe one that reveals the entire horrifying truth,0,286.0
Angelfall,Susan Ee,2011-05-21 00:00:00,288 pages,"['Fantasy', 'Young Adult', 'Dystopia']",4.11,its been six weeks since angels of the apocalypse descended to demolish the modern world street gangs rule the day while fear and superstition rule the night when warrior angels fly away with a helpless little girl her seventeenyearold sister penryn will do anything to get her back anything including making a deal with raffe an injured enemy angel traveling through a dark and twisted northern california they journey toward the angels stronghold in san francisco where penryn will risk everything to rescue her sister and raffe will put himself at the mercy of his greatest enemies for the chance to be made whole again,0,288.0
Unearthly,Cynthia Hand,2011-01-04 00:00:00,435 pages,"['Young Adult', 'Fantasy', 'Angels']",4.01,in the beginning theres a boy standing in the treesclara gardner has recently learned that shes part angel having angel blood run through her veins not only makes her smarter stronger and faster than humans a word she realizes that no longer applies to her but it means she has a purpose something she was put on this earth to do figuring out what that is though isnt easyher visions of a raging forest fire and an alluring stranger lead her to a new school in a new town when she meets christian who turns out to be the boy of her dreams literally everything seems to fall into place and out of place at the same time because theres another guy tucker who appeals to claras less angelic sideas clara tries to find her way in a world she no longer understands she encounters unseen dangers and choices she never thought shed have to make between honesty and deceit love and duty good and evil when the fire from her vision finally ignites will clara be ready to face her destinyunearthly is a moving tale of love and fate and the struggle between following the rules and following your heart,0,435.0
Halfway to the Grave,Jeaniene Frost,2007-11-01 00:00:00,374 pages,"['Paranormal', 'Vampires', 'Urban Fantasy']",4.13,flirting with the gravehalfvampire catherine crawfield is going after the undead with a vengeance hoping that one of these deadbeats is her father  the one responsible for ruining her mothers life then shes captured by bones a vampire bounty hunter and is forced into an unlikely partnershipin exchange for help finding her father cat agrees to train with the sexy night stalker until her battle reflexes are as sharp as his fangs shes amazed she doesnt end up as his dinner  are there actually good vampires pretty soon bones will have her convinced that being halfdead doesnt have to be all bad but before she can enjoy her status as kickass demon hunter cat and bones are pursued by a group of killers now cat will have to choose a side  and bones is turning out to be as tempting as any man with a heartbeat,0,374.0
Red Dragon,Thomas  Harris,1981-10-01 00:00:00,454 pages,"['Horror', 'Fiction', 'Thriller']",4.06,a second family has been massacred by the terrifying serial killer the press has christened the tooth fairy special agent jack crawford turns to the one man who can help restart a failed investigation will graham graham is the greatest profiler the fbi ever had but the physical and mental scars of capturing hannibal lecter have caused graham to go into early retirement now graham must turn to lecter for help,0,454.0
The Woman in the Window,A.J. Finn,2018-01-02 00:00:00,455 pages,"['Thriller', 'Mystery', 'Fiction']",3.95,anna fox lives alone a recluse in her new york city home unable to venture outside she spends her day drinking wine maybe too much watching old movies recalling happier times    and spying on her neighborsthen the russells move into the house across the way a father a mother and their teenage son the perfect family but when anna gazing out her window one night sees something she shouldnt her world begins to crumble and its shocking secrets are laid barewhat is real what is imagined who is in danger who is in control in this diabolically gripping thriller no oneand nothingis what it seems,0,455.0
Fire,Kristin Cashore,2009-10-05 00:00:00,480 pages,"['Fantasy', 'Young Adult', 'Romance']",4.1,it is not a peaceful time in the dells the young king nash clings to his throne while rebel lords in the north and south build armies to unseat him the mountains and forests are filled with spies and thieves and lawless menthis is where fire lives with a wild irresistible appearance and hair the color of flame fire is the last remaining human monster equally hated and adored she had the unique ability to control minds but she guards her power unwilling to steal the secrets of innocent people especially when she has so many of her ownthen prince brigan comes to bring her to king city the royal family needs her help to uncover the plot against the king far away from home fire begins to realize theres more to her power than she ever dreamed her power could save the kingdomif only she werent afraid of becoming the monster her father was,0,480.0
Darkfever,Karen Marie Moning,2006-10-31 00:00:00,309 pages,"['Fantasy', 'Urban Fantasy', 'Paranormal']",4.06,my name is mackayla mac for short im a sidheseer one who sees the fae a fact i accepted only recently and very reluctantlymy philosophy is pretty simpleany day nobodys trying to kill me is a good day in my book i havent had many good days lately not since the walls between man and fae came down but then theres not a sidheseer alive whos had a good day since thenwhen mackaylas sister was murdered she left a single clue to her death a cryptic message on macs cell phone journeying to ireland in search of answers mac is soon faced with an even greater challenge staying alive long enough to master a power she had no idea she possesseda gift that allows her to see beyond the world of man into the dangerous realm of the faeas mac delves deeper into the mystery of her sisters death her every move is shadowed by the dark mysterious jerichowhile at the same time the ruthless vlanean alpha fae who makes sex an addiction for human womencloses in on her as the boundary between worlds begins to crumble macs true mission becomes clear to find the elusive sinsar dubh before someone else claims the allpowerful dark bookbecause whoever gets to it first holds nothing less than complete control of both worlds in their hands,0,309.0
The Housemaid's Secret,Freida McFadden,2023-02-15 00:00:00,318 pages,"['Thriller', 'Mystery', 'Fiction']",4.22,as he continues showing me their incredible penthouse apartment i have a terrible feeling about the woman behind closed doors but i cant risk losing this job  not if i want to keep my darkest secret safe   its hard to find an employer who doesnt ask too many questions about my past so i thank my lucky stars that the garricks miraculously give me a job cleaning their stunning penthouse with views across the city and preparing fancy meals in their shiny kitchen i can work here for a while stay quiet until i get what i want its almost perfect but i still havent met mrs garrick or seen inside the guest bedroom im sure i hear her crying i notice spots of blood around the neck of her white nightgowns when im doing laundry and one day i cant help but knock on the door when it gently swings open what i see inside changes everythingthats when i make a promise after all ive done this before i can protect mrs garrick while keeping my own secrets locked up safe douglas garrick has done wrong he is going to pay its simply a question of how far im willing to go,0,318.0
The Family Upstairs,Lisa Jewell,2019-08-06 00:00:00,340 pages,"['Thriller', 'Mystery', 'Fiction']",3.96,an alternative cover edition for this isbn can be found heresoon after her twentyfifth birthday libby jones returns home from work to find the letter shes been waiting for her entire life she rips it open with one driving thought i am finally going to know who i am she soon learns not only the identity of her birth parents but also that she is the sole inheritor of their abandoned mansion on the banks of the thames in londons fashionable chelsea neighborhood worth millions everything in libbys life is about to change but what she cant possibly know is that others have been waiting for this day as welland she is on a collision course to meet them twentyfive years ago police were called to 16 cheyne walk with reports of a baby crying when they arrived they found a healthy tenmonthold happily cooing in her crib in the bedroom downstairs in the kitchen lay three dead bodies all dressed in black next to a hastily scrawled note and the four other children reported to live at cheyne walk were gone the cantlookaway story of three entangled families living in a house with the darkest of secrets,0,340.0
The Poisonwood Bible,Barbara Kingsolver,1998-09-24 00:00:00,546 pages,"['Fiction', 'Historical Fiction', 'Africa']",4.1,the poisonwood bible is a story told by the wife and four daughters of nathan price a fierce evangelical baptist who takes his family and mission to the belgian congo in 1959 they carry with them everything they believe they will need from home but soon find that all of it  from garden seeds to scripture  is calamitously transformed on african soil what follows is a suspenseful epic of one familys tragic undoing and remarkable reconstruction over the course of three decades in postcolonial africa,0,546.0
Before I Go to Sleep,S.J. Watson,2011-10-01 00:00:00,359 pages,"['Thriller', 'Fiction', 'Mystery']",3.9,memories define usso what if you lost yours every time you went to sleepyour name your identity your past even the people you love  all forgotten overnightand the one person you trust may only be telling you half the storywelcome to christines life,0,359.0
The Girl Who Played with Fire,Stieg Larsson,2006-01-01 00:00:00,503 pages,"['Fiction', 'Mystery', 'Thriller']",4.26,the exposemillenium publisher mikael blomkvist has made his reputation exposing corrupt establishment figures so when a young journalist approaches him with an investigation into sex trafficking blomkvist cannot resist waging war on the powerful figures who control this lucrative industrythe murderwhen a young couple is found dead in their stockholm apartment its a straightforward job for inspector bublanski and his team the killer left the weapon at the scene  and the fingerprints on the gun point in only one directionthe girl who played with fireexsecurity analyst lisbeth salander is wanted for murder her history of unpredictable and vengeful behaviour makes her an official danger to society  but noone can find her the only way salander can be reached is by computer but she can break into almost any network she chooses,0,503.0
Lover Eternal,J.R. Ward,2006-03-07 00:00:00,441 pages,"['Romance', 'Paranormal', 'Vampires']",4.32,in the shadows of the night in caldwell new york theres a deadly war raging between vampires and their slayers and there exists a secret band of brothers like no other  six vampire warriors defenders of their race possessed by a deadly beast rhage is the most dangerous of the black dagger brotherhoodwithin the brotherhood rhage is the vampire with the strongest appetite hes the best fighter the quickest to act on his impulses and the most voracious loverfor inside him burns a ferocious curse cast by the scribe virginpossessed by this dark side rhage fears the times when his inner dragon is unleashed making him a danger to everyone around him when mary luce is unwittingly thrown into the vampire world she must rely on rhages protection knowing that mary feels the same intense animal attraction rhage must make her his alone,0,441.0
Sabriel,Garth Nix,1995-05-01 00:00:00,491 pages,"['Fantasy', 'Young Adult', 'Fiction']",4.17,sent to a boarding school in ancelstierre as a young child sabriel has had little experience with the random power of free magic or the dead who refuse to stay dead in the old kingdom but during her final semester her father the abhorsen goes missing and sabriel knows she must enter the old kingdom to find him with sabriel the first installment in the abhorsen series garth nix exploded onto the fantasy scene as a rising star in a novel that takes readers to a world where the line between the living and the dead isnt always clearand sometimes disappears altogether,0,491.0
A Discovery of Witches,Deborah Harkness,2011-02-08 00:00:00,592 pages,"['Fantasy', 'Romance', 'Fiction']",4.02,a richly inventive novel about a centuriesold vampire a spellbound witch and the mysterious manuscript that draws them together deep in the stacks of oxfords bodleian library young scholar diana bishop unwittingly calls up a bewitched alchemical manuscript in the course of her research descended from an old and distinguished line of witches diana wants nothing to do with sorcery so after a furtive glance and a few notes she banishes the book to the stacks but her discovery sets a fantastical underworld stirring and a horde of daemons witches and vampires soon descends upon the library diana has stumbled upon a coveted treasure lost for centuriesand she is the only creature who can break its spell debut novelist deborah harkness has crafted a mesmerizing and addictive read equal parts history and magic romance and suspense diana is a bold heroine who meets her equal in vampire geneticist matthew clairmont and gradually warms up to him as their alliance deepens into an intimacy that violates ageold taboos this smart sophisticated story harks back to the novels of anne rice but it is as contemporary and sensual as the twilight serieswith an extra serving of historical realism,0,592.0
Lover Awakened,J.R. Ward,2006-09-05 00:00:00,434 pages,"['Romance', 'Paranormal', 'Vampires']",4.43,in the shadows of the night in caldwell new york theres a deadly war raging between vampires and their slayers and there exists a secret band of brothers like no other  six vampire warriors defenders of their race of these zsadist is the most terrifying member of the black dagger brotherhooda former blood slave the vampire zsadist still bears the scars from a past filled with suffering and humiliation renowned for his unquenchable fury and sinister deeds he is a savage feared by humans and vampires alike anger is his only companion and terror is his only passionuntil he rescues a beautiful aristocrat from the evil lessening societybella is instantly entranced by the seething power zsadist possesses but even as their desire for one another begins to overtake them both zsadists thirst for vengeance against bellas tormentors drives him to the brink of madness now bella must help her lover overcome the wounds of his tortured past and find a future with her,0,434.0
Only the Good Spy Young,Ally Carter,2010-06-29 00:00:00,265 pages,"['Young Adult', 'Mystery', 'Romance']",4.29,when cammie morgan enrolled at the gallagher academy she knew she was preparing for the dangerous life of a spy what she didnt know was that the serious reallife danger would start during her junior year of high school but thats exactly what happened two months ago when cammie faced off against an ancient terrorist organization dead set on kidnapping hernow the danger follows her everywhere and even cammie the chameleon cant hide when a terrifying encounter in london reveals that one of her mosttrusted allies is actually a rogue doubleagent cammie no longer knows if she can trust her classmates her teachersor even her own heartin this fourth installment of the new york times bestselling series the gallagher girls must hack spy steal and lie their way to the truthas they go searching for answers recognizing that the key to cammies future may lie deep in the past,0,265.0
The Ruins of Gorlan,John Flanagan,2004-11-01 00:00:00,249 pages,"['Fantasy', 'Young Adult', 'Fiction']",4.25,they have always scared him in the past  the rangers with their dark cloaks and shadowy ways the villagers believe the rangers practice magic that makes them invisible to ordinary people and now 15yearold will always small for his age has been chosen as a rangers apprentice what he doesnt yet realize is that the rangers are the protectors of the kingdom highly trained in the skills of battle and surveillance they fight the battles before the battles reach the people and as will is about to learn there is a large battle brewing the exiled morgarath lord of the mountains of rain and night is gathering his forces for an attack on the kingdom this time he will not be denied,0,249.0
The Elite,Kiera Cass,2013-04-23 00:00:00,336 pages,"['Romance', 'Young Adult', 'Dystopia']",3.94,the selection began with thirtyfive girls now with the group narrowed down to the six elite the competition to win prince maxons heart is fiercer than everand america is still struggling to decide where her heart truly lies is it with maxon who could make her life a fairy tale or with her first love aspenamerica is desperate for more time but the rest of the elite know exactly what they wantand americas chance to choose is about to slip away,0,336.0
The Addiction Manifesto,Jerry Weaver,2018-04-07 00:00:00,178 pages,"['Nonfiction', 'Self Help', 'Memoir']",4.79,2020 international book awards finalist for health addiction  recovery2021 literary titan silver awardsome people wont believe in you and thats ok this journey isnt about them its about youthe addiction manifesto has been uniquely designed to provide you with a new perspective on recovery and will show you that anything is possiblein this deeply personal book jr weaver has crafted a raw insight into his life and how hes been affected by substance abuse over the past 20 years he details his recovery process and how hes dealt with losswith this book he wishes to help people on their journey to recovery his realistic approach details his journey to try to have a normal life againif youre going through addiction recovery or want to help someone who is this book allows you to fain a greater understanding of substance abuse and its many challenges,0,178.0
Nightshade,Andrea Cremer,2010-10-19 00:00:00,452 pages,"['Young Adult', 'Fantasy', 'Paranormal']",4.01,calla tor has always known her destiny after graduating from the mountain school shell be the mate of sexy alpha wolf ren laroche and fight with him side by side ruling their pack and guarding sacred sites for the keepers but when she violates her masters laws by saving a beautiful human boy out for a hike calla begins to question her fate her existence and the very essence of the world she has known by following her heart she might lose everything including her own life is forbidden love worth the ultimate sacrificea finelywrought compelling tale of romance and treacherycynthia leitich smithnew york times bestselling author of eternal and tantalize,0,452.0
Lover Unbound,J.R. Ward,2007-09-25 00:00:00,528 pages,"['Romance', 'Paranormal', 'Paranormal Romance']",4.31,the ruthless and brilliant brother vishous possesses a destructive curse and a frightening ability to see the future as a member of the brotherhood he has no interest in love or emotion only the battle with the lessening society but when a mortal injury puts him in the care of a human surgeon dr jane whitcomb compels him to reveal his inner pain and taste true pleasure for the first timeuntil a destiny he didnt choose takes him into a future that does not include her,0,528.0
Burned,P.C. Cast,2010-04-27 00:00:00,323 pages,"['Young Adult', 'Vampires', 'Fantasy']",3.97,the next exciting instalment in the adventures of zoey redbird at the house of night school for vampyres,0,323.0
Hidden Pictures,Jason Rekulak,2022-05-10 00:00:00,372 pages,"['Horror', 'Thriller', 'Mystery']",4.16,a wildly inventive spin on the supernatural thriller about a woman working as a nanny for a young boy with strange and disturbing secretsmallory quinn is fresh out of rehab when she takes a job as a babysitter for ted and caroline maxwell she is to look after their fiveyearold son teddymallory immediately loves it she has her own living space goes out for nightly runs and has the stability she craves and she sincerely bonds with teddy a sweet shy boy who is never without his sketchbook and pencil his drawings are the usual fare trees rabbits balloons but one day he draws something different a man in a forest dragging a womans lifeless bodythen teddys artwork becomes increasingly sinister and his stick figures quickly evolve into lifelike sketches well beyond the ability of any fiveyearold mallory begins to wonder if these are glimpses of a longunsolved murder perhaps relayed by a supernatural forceknowing just how crazy it all sounds mallory nevertheless sets out to decipher the images and save teddy before its too late,0,372.0
The Horse and His Boy,C.S. Lewis,1954-09-06 00:00:00,224 pages,"['Fantasy', 'Fiction', 'Young Adult']",3.91,the horse and his boy is a stirring and dramatic fantasy story that finds a young boy named shasta on the run from his homeland with the talking horse bree when the pair discover a deadly plot by the calormen people to conquer the land of narnia the race is on to warn the inhabitants of the impending danger and to rescue them all from certain death,0,224.0
Lover Revealed,J.R. Ward,2007-03-06 00:00:00,455 pages,"['Romance', 'Paranormal', 'Vampires']",4.28,butch oneal is a fighter by nature a hardliving exhomicide cop hes the only human ever to be allowed in the inner circle of the black dagger brotherhood and he wants to go even deeper into the vampire worldto engage in the turf war with the lessers hes got nothing to lose his heart belongs to a female vampire an aristocratic beauty whos way out of his league if he cant have marissa then at least he can fight side by side with the brothersfate curses him with the very thing he wants when butch sacrifices himself to save a civilian vampire from the slayers he falls prey to the darkest force in the war left for dead hes found by a miracle and the brotherhood calls on marissa to bring him back but even her love may not be enough to save him,0,455.0
School's Out—Forever,James           Patterson,2006-05-23 00:00:00,409 pages,"['Young Adult', 'Fantasy', 'Science Fiction']",4.14,in this eagerly awaited followup brave birdkid max and her flock are discovered by an fbi agent and forced to go to school there is no such thing as an ordinary day as max deciphers how and when shes supposed to save the world and she faces her greatest enemya clone of herself little brown and company,0,409.0
Life As We Knew It,Susan Beth Pfeffer,2006-10-01 00:00:00,337 pages,"['Young Adult', 'Dystopia', 'Science Fiction']",3.89,mirandas disbelief turns to fear in a split second when a meteor knocks the moon closer to the earth how should her family prepare for the future when worldwide tsunamis wipe out the coasts earthquakes rock the continents and volcanic ash blocks out the sun as summer turns to arctic winter miranda her two brothers and their mother retreat to the unexpected safe haven of their sunroom where they subsist on stockpiled food and limited water in the warmth of a woodburning stovetold in journal entries this is the heartpounding story of mirandas struggle to hold on to the most important resource of allhopein an increasingly desperate and unfamiliar world,0,337.0
Grip of the Shadow Plague,Brandon Mull,2008-04-21 00:00:00,477 pages,"['Fantasy', 'Young Adult', 'Middle Grade']",4.3,strange things are afoot at fablehaven someone or something has released a plague that transforms beings of light into creatures of darkness seth discovers the problem in its infancy but as the infectious disease spreads it becomes clear that the preserve cannot hold out for longin dire need of help the sorensons question where to turn the sphinx has always given sound advicebut is he a traitor inside the quiet box vanessa might have information that could lead to a curebut can she be trustmeanwhile kendra and members of the knights of the dawn must journey to a distant preserve and retrieve another hidden artifact will the society of the evening star recover it first will the plague eclipse all light at fablehaven find out in fablehaven grip of the shadow plague,0,477.0
The Power of Six,Pittacus Lore,2011-08-23 00:00:00,406 pages,"['Young Adult', 'Fantasy', 'Science Fiction']",4.14,ive seen him on the news followed the stories about what happened in ohio john smith out there on the run to the world hes a mystery but to me    hes one of usnine of us came here but sometimes i wonder if time has changed usif we all still believe in our mission how can i know there are six of us left were hiding blending in avoiding contact with one another    but our legacies are developing and soon well be equipped to fight is john number four and is his appearance the sign ive been waiting for and what about number five and six could one of them be the ravenhaired girl with the stormy eyes from my dreams the girl with powers that are beyond anything i could ever imagine the girl who may be strong enough to bring the six of us togetherthey caught number one in malaysianumber two in englandand number three in kenyathey tried to catch number four in ohioand failedi am number seven one of six still aliveand im ready to fight,0,406.0
City of Heavenly Fire,Cassandra Clare,2014-05-27 00:00:00,725 pages,"['Fantasy', 'Young Adult', 'Romance']",4.39,in this dazzling and longawaited conclusion to the acclaimed mortal instruments series clary and her friends fight the greatest evil they have ever faced clarys own brothersebastian morgenstern is on the move systematically turning shadowhunter against shadowhunter bearing the infernal cup he transforms shadowhunters into creatures out of nightmare tearing apart families and lovers as the ranks of his endarkened army swellthe embattled shadowhunters withdraw to idris  but not even the famed demon towers of alicante can keep sebastian at bay and with the nephilim trapped in idris who will guard the world against demonswhen one of the greatest betrayals the nephilim have ever known is revealed clary jace isabelle simon and alec must flee  even if their journey takes them deep into the demon realms where no shadowhunter has set foot before and from which no human being has ever returnedlove will be sacrificed and lives lost in the terrible battle for the fate of the word in the thrilling final installment of the classic urban fantasy series the mortal instruments,0,725.0
This Lullaby,Sarah Dessen,2002-05-27 00:00:00,345 pages,"['Young Adult', 'Romance', 'Contemporary']",4.01,there is an alternate cover edition for this isbn13 herethe science of breaking upremy always knows when to give a guy the speech  right after the initial romantic rush but before anything gets too serious shes had her fair share of boyfriends and shes learned all there is to learn from her mother whos currently working on husband number five so why is it thats remy cant seem to dump dexter it cant be his name it cant be that hes messy and disorganized and it certainly isnt that hes a musician  just like remys father a man she never knew because he left before she was born could it be that remys romantic rules to live by dont apply anymore,0,345.0
The Alienist,Caleb Carr,1994-03-15 00:00:00,498 pages,"['Historical Fiction', 'Mystery', 'Fiction']",4.06,the year is 1896 the place new york city on a cold march night new york times reporter john schuyler moore is summoned to the east river by his friend and former harvard classmate dr laszlo kreizler a psychologist or alienist on the unfinished williamsburg bridge they view the horribly mutilated body of an adolescent boy a prostitute from one of manhattans infamous brothelsthe newly appointed police commissioner theodore roosevelt in a highly unorthodox move enlists the two men in the murder investigation counting on the reserved kreizlers intellect and moores knowledge of new yorks vast criminal underworld they are joined by sara howard a brave and determined woman who works as a secretary in the police department laboring in secret for alienists and the emerging discipline of psychology are viewed by the public with skepticism at best the unlikely team embarks on what is a revolutionary effort in criminology amassing a psychological profile of the man theyre looking for based on the details of his crimes their dangerous quest takes them into the tortured past and twisted mind of a murderer who has killed beforeand will kill again before the hunt is overfastpaced and gripping infused with a historians exactitude the alienist conjures up the gilded age and its untarnished underside verminous tenements and opulent mansions corrupt cops and flamboyant gangsters shining opera houses and seamy gin mills here is a new york during an age when questioning societys belief that all killers are born not made could have unexpected and mortal consequences,0,498.0
Need,Carrie Jones,2008-12-23 00:00:00,306 pages,"['Young Adult', 'Fantasy', 'Paranormal']",3.72,pain shoots through my head fireworks explosions all inside my brain the white world goes dark and i know whats about to happenzara white suspects theres a freaky guy semistalking her shes also obsessed with phobias and its true she hasnt exactly been herself since her stepfather died but exiling her to shivery maine to live with her grandmother that seems a bit extreme the move is supposed to help her stay sanebut zaras pretty sure her mom just cant deal with her right nowshe couldnt be more wrong turns out the semistalker is not a figment of zaras overactive imagination in fact hes still following her leaving behind an eerie trail of gold dust theres something not right  not human  in this sleepy maine town and all signs point to zarain this creepy compelling breakout novel carrie jones delivers romance suspense and a creature you never thought youd have to fear,0,306.0
The Amber Spyglass,Philip Pullman,2000-10-10 00:00:00,465 pages,"['Fantasy', 'Young Adult', 'Fiction']",4.1,will is the bearer of the knife now accompanied by angels his task is to deliver that powerful dangerous weapon to lord asriel  by the command of his dying fatherbut how can he go looking for lord asriel when lyra is gone only with her help can he fathom the myriad plots and intrigues that beset him the two great powers of the many worlds are lining up for war and will must find lyra for together they are on their way to battle an inevitable journey that will even take them to the world of the dead,0,465.0
The Secret History,Donna Tartt,1992-09-16 00:00:00,559 pages,"['Fiction', 'Mystery', 'Classics']",4.17,under the influence of their charismatic classics professor a group of clever eccentric misfits at an elite new england college discover a way of thinking and living that is a world away from the humdrum existence of their contemporaries but when they go beyond the boundaries of normal morality they slip gradually from obsession to corruption and betrayal and at lastinexorablyinto evil,0,559.0
Crank,Ellen Hopkins,2004-10-01 00:00:00,537 pages,"['Young Adult', 'Poetry', 'Fiction']",4.16,in crank ellen hopkins chronicles the turbulent and often disturbing relationship between kristina a character based on her own daughter and the monster the highly addictive drug crystal meth or crank kristina is introduced to the drug while visiting her largely absent and neerdowell father while under the influence of the monster kristina discovers her sexy alterego bree there is no perfect daughter  no gifted high school junior  no kristina georgia snow  there is only bree bree will do all the things good girl kristina wont including attracting the attention of dangerous boys who can provide her with a steady flow of crank,0,537.0
Lover Avenged,J.R. Ward,2009-04-28 00:00:00,527 pages,"['Paranormal Romance', 'Paranormal', 'Romance']",4.36,rehvenge has always kept his distance from the brotherhoodeven though his sister is married to a member for he harbors a deadly secret that could make him a huge liability in their war against the lessers as plots within and outside of the brotherhood threaten to reveal the truth about rehvenge he turns to the only source of light in his darkening world ehlena a vampire untouched by the corruption that has its hold on himand the only thing standing between him and eternal destruction,0,527.0
Local Woman Missing,Mary Kubica,2021-05-18 00:00:00,356 pages,"['Thriller', 'Mystery', 'Mystery Thriller']",4.14,people dont just disappear without a traceshelby tebow is the first to go missing not long after meredith dickey and her sixyearold daughter delilah vanish just blocks away from where shelby was last seen striking fear into their oncepeaceful community are these incidents connected after an elusive search that yields more questions than answers the case eventually goes coldnow 11 years later delilah shockingly returns everyone wants to know what happened to her but no one is prepared for what theyll findin this smart and chilling thriller master of suspense and new york times bestselling author mary kubica takes domestic secrets to a whole new level showing that some people will stop at nothing to keep the truth buried,0,356.0
Beautiful Darkness,Kami Garcia,2010-10-12 00:00:00,503 pages,"['Fantasy', 'Young Adult', 'Paranormal']",3.83,some secrets are lifealtering others are lifeending sink your fangs into a story author holly black praises as a lush southern gothic makes for a great young adult ya novel and gifting,0,503.0
"Night World, No. 2",L.J. Smith,2008-11-18 00:00:00,662 pages,"['Young Adult', 'Fantasy', 'Vampires']",4.2,includesbook 4  dark angelbook 5  the chosenbook 6  soulmatevampires werewolves witches shapeshifters  they live among us without our knowledge night world is their secret society a secret society with very strict rules and falling in love breaks all the laws of the night worldin dark angel gillian is saved from drowning by her guardian angel only visible to gillian angel will fulfill her hearts every desire but when angel starts making strange and sinister requests gillian must question who he truly is and where he came fromarmed with a wooden stake martial arts and the will to resist a vampires mind control rashel struggles to avenge her mothers death in the chosen then she meets quinn her soulmate who is part of the world she has vowed to destroyhannah receives notes warning her of incredible danger in soulmate but if death is her destiny is the lord of the night worlds love strong enough to save her,0,662.0
Shadow and Bone,Leigh Bardugo,2012-06-05 00:00:00,358 pages,"['Fantasy', 'Young Adult', 'Fiction']",3.92," 
alternative cover edition 1
surrounded by enemies the oncegreat nation of ravka has been torn in two by the shadow fold a swath of near impenetrable darkness crawling with monsters who feast on human flesh now its fate may rest on the shoulders of one lonely refugeealina starkov has never been good at anything but when her regiment is attacked on the fold and her best friend is brutally injured alina reveals a dormant power that saves his lifea power that could be the key to setting her warravaged country free wrenched from everything she knows alina is whisked away to the royal court to be trained as a member of the grisha the magical elite led by the mysterious darklingyet nothing in this lavish world is what it seems with darkness looming and an entire kingdom depending on her untamed power alina will have to confront the secrets of the grisha    and the secrets of her heart",0,358.0
The Two Princesses of Bamarre,Gail Carson Levine,2001-03-20 00:00:00,304 pages,"['Fantasy', 'Young Adult', 'Middle Grade']",4.06,twelveyearold addie admires her older sister meryl who aspires to rid the kingdom of bamarre of gryphons specters and ogres addie on the other hand is fearful even of spiders and depends on meryl for courage and protection waving her sword bloodbiter the older girl declaims in the garden from the heroic epic of drualt to a thrilled audience of addie their governess and the young sorcerer rhys but when meryl falls ill with the dreaded gray death addie must gather her courage and set off alone on a quest to find the cure and save her beloved sister addie takes the sevenleague boots and magic spyglass left to her by her mother and the enchanted tablecloth and cloak given to her by rhys  along with a shy declaration of his love she prevails in encounters with tricky specters spiders too and outwits a wickedly personable dragon in adventures touched with romance and a bittersweet ending,0,304.0
